run,experiment,config,create_ts,ready_ts,delta_ms,pod,status,scheduled_ms,pulled_ms,created_ms,started_ms,phase5_ms
1,cold-start,vanilla,1783617446006907000,1783617448803769000,2796,unknown,ok,,,,,
2,cold-start,vanilla,1783617452203498000,1783617454987662000,2784,unknown,ok,,,,,
3,cold-start,vanilla,1783617458389070000,1783617461158033000,2768,unknown,ok,,,,,
4,cold-start,vanilla,1783617464570137000,1783617467385803000,2815,unknown,ok,,,,,
5,cold-start,vanilla,1783617306690564000,1783617473516051000,166825,unknown,ok,,,,,
5,cold-start,vanilla,1783617470831135000,1783617473634198000,2803,unknown,ok,,,,,
6,cold-start,vanilla,1783617477040230000,,,vanilla-run-6,create-failed,,,,,
7,cold-start,vanilla,1783617478968604000,1783617481748488000,2779,unknown,ok,,,,,
8,cold-start,vanilla,1783617485213680000,1783617487988948000,2775,unknown,ok,,,,,
9,cold-start,vanilla,1783617491407715000,1783617494178541000,2770,unknown,ok,,,,,
10,cold-start,vanilla,1783617497583530000,1783617500379199000,2795,unknown,ok,,,,,
6,cold-start,vanilla,1783617476935510000,,,vanilla-run-6,timeout,,,,,
7,cold-start,vanilla,1783617668541518000,,,vanilla-run-7,timeout,,,,,
8,cold-start,vanilla,1783617844241742000,,,vanilla-run-8,timeout,,,,,
9,cold-start,vanilla,1783618021313839000,,,vanilla-run-9,timeout,,,,,
10,cold-start,vanilla,1783618197686499000,,,vanilla-run-10,timeout,,,,,
