run,experiment,config,create_ts,ready_ts,delta_ms,pod,status,scheduled_ms,pulled_ms,created_ms,started_ms,phase5_ms
1,cold-start,prepulled,1783666646834294000,1783666658190829000,11356,cold-prepulled-run-1,ok,4000,11000,8000,9000,
2,cold-start,prepulled,1783666662507817000,1783666678367951000,15860,cold-prepulled-run-2,ok,4000,15000,11000,13000,
3,cold-start,prepulled,1783666682739693000,1783666698328065000,15588,cold-prepulled-run-3,ok,4000,15000,12000,13000,
4,cold-start,prepulled,1783666702493130000,1783666718524604000,16031,cold-prepulled-run-4,ok,4000,15000,12000,13000,
5,cold-start,prepulled,1783666722746476000,1783666738661448000,15914,cold-prepulled-run-5,ok,4000,15000,12000,13000,
6,cold-start,prepulled,1783666742998751000,1783666759631752000,16633,cold-prepulled-run-6,ok,4000,16000,13000,14000,
7,cold-start,prepulled,1783666763997086000,1783666779706870000,15709,cold-prepulled-run-7,ok,4000,15000,12000,14000,
8,cold-start,prepulled,1783666784075155000,1783666799782968000,15707,cold-prepulled-run-8,ok,3000,14000,11000,13000,
9,cold-start,prepulled,1783666804192808000,1783666869217024000,65024,cold-prepulled-run-9,ok,3000,65000,60000,62000,
10,cold-start,prepulled,1783666873521349000,1783666892133155000,18611,cold-prepulled-run-10,ok,4000,18000,14000,16000,
